Statistic Measure	Naive Bayes	Random Forest	SVM	KNN
Accuracy	0.914723040985	0.951655718067	0.960051970947	0.949290833888
Precision	0.91645264127	0.951980896704	0.960259549038	0.949651964174
Recall	0.914723040985	0.951655718067	0.960051970947	0.949290833888
F-Measure	0.91518602339	0.951611427762	0.960078591857	0.949317168444
AUC	0.947088397811	0.969636490904	0.975062210669	0.968364039113
